Yaacomo,2018-06,0.005
Yaacomo,2018-07,0.005
Yaacomo,2018-08,0.005
Yaacomo,2018-09,0.005
Yaacomo,2018-10,0.005
Yaacomo,2018-11,0.005
Yaacomo,2018-12,0.005
Yaacomo,2019-01,0.005
Yaacomo,2019-02,0.005
Yaacomo,2019-03,0.005
Yaacomo,2019-04,0.005
Yaacomo,2019-05,0.005
Yaacomo,2019-06,0.005
Yaacomo,2019-07,0.044
Yaacomo,2019-08,0.005
Yaacomo,2019-09,0.005
Yaacomo,2019-10,0.005
Yaacomo,2019-11,0.005
NosDB,2016-08,0.005
NosDB,2016-09,0.005
NosDB,2016-10,0.046
NosDB,2016-11,0.007
NosDB,2016-12,0.005
NosDB,2017-01,0.005
NosDB,2017-02,0.005
NosDB,2017-03,0.048
NosDB,2017-04,0.055
NosDB,2017-05,0.029
NosDB,2017-06,0.019
NosDB,2017-07,0.065
NosDB,2017-08,0.067
NosDB,2017-09,0.079
NosDB,2017-10,0.067
NosDB,2017-11,0.033
NosDB,2017-12,0.070
NosDB,2018-01,0.036
NosDB,2018-02,0.026
NosDB,2018-03,0.042
NosDB,2018-04,0.026
NosDB,2018-05,0.028
NosDB,2018-06,0.051
NosDB,2018-07,0.080
NosDB,2018-08,0.065
NosDB,2018-09,0.074
NosDB,2018-10,0.087
NosDB,2018-11,0.085
NosDB,2018-12,0.110
NosDB,2019-01,0.100
NosDB,2019-02,0.074
NosDB,2019-03,0.093
NosDB,2019-04,0.107
NosDB,2019-05,0.086
NosDB,2019-06,0.077
NosDB,2019-07,0.098
NosDB,2019-08,0.098
NosDB,2019-09,0.091
NosDB,2019-10,0.097
NosDB,2019-11,0.084
Heroic,2016-06,0.081
Heroic,2016-07,0.055
Heroic,2016-08,0.055
Heroic,2016-09,0.053
Heroic,2016-10,0.086
Heroic,2016-11,0.059
Heroic,2016-12,0.062
Heroic,2017-01,0.125
Heroic,2017-02,0.076
Heroic,2017-03,0.042
Heroic,2017-04,0.034
Heroic,2017-05,0.021
Heroic,2017-06,0.005
Heroic,2017-07,0.005
Heroic,2017-08,0.007
Heroic,2017-09,0.005
Heroic,2017-10,0.018
Heroic,2017-11,0.005
Heroic,2017-12,0.005
Heroic,2018-01,0.005
Heroic,2018-02,0.005
Heroic,2018-03,0.005
Heroic,2018-04,0.005
Heroic,2018-05,0.005
Heroic,2018-06,0.005
Heroic,2018-07,0.005
Heroic,2018-08,0.021
Heroic,2018-09,0.005
Heroic,2018-10,0.060
Heroic,2018-11,0.089
Heroic,2018-12,0.064
Heroic,2019-01,0.106
Heroic,2019-02,0.177
Heroic,2019-03,0.253
Heroic,2019-04,0.338
Heroic,2019-05,0.398
Heroic,2019-06,0.387
Heroic,2019-07,0.357
Heroic,2019-08,0.270
Heroic,2019-09,0.280
Heroic,2019-10,0.194
Heroic,2019-11,0.193
Raima Database Manager,2016-04,0.615
Raima Database Manager,2016-05,0.657
Raima Database Manager,2016-06,0.678
Raima Database Manager,2016-07,0.666
Raima Database Manager,2016-08,0.662
Raima Database Manager,2016-09,0.664
Raima Database Manager,2016-10,0.651
Raima Database Manager,2016-11,0.634
Raima Database Manager,2016-12,0.627
Raima Database Manager,2017-01,0.532
Raima Database Manager,2017-02,0.469
Raima Database Manager,2017-03,0.444
Raima Database Manager,2017-04,0.520
Raima Database Manager,2017-05,0.514
Raima Database Manager,2017-06,0.482
Raima Database Manager,2017-07,0.485
Raima Database Manager,2017-08,0.466
Raima Database Manager,2017-09,0.450
Raima Database Manager,2017-10,0.438
Raima Database Manager,2017-11,0.407
Raima Database Manager,2017-12,0.369
Raima Database Manager,2018-01,0.321
Raima Database Manager,2018-02,0.291
Raima Database Manager,2018-03,0.276
Raima Database Manager,2018-04,0.261
Raima Database Manager,2018-05,0.227
Raima Database Manager,2018-06,0.268
Raima Database Manager,2018-07,0.276
Raima Database Manager,2018-08,0.275
Raima Database Manager,2018-09,0.269
Raima Database Manager,2018-10,0.316
Raima Database Manager,2018-11,0.314
Raima Database Manager,2018-12,0.302
Raima Database Manager,2019-01,0.326
Raima Database Manager,2019-02,0.333
Raima Database Manager,2019-03,0.356
Raima Database Manager,2019-04,0.348
Raima Database Manager,2019-05,0.358
Raima Database Manager,2019-06,0.346
Raima Database Manager,2019-07,0.336
Raima Database Manager,2019-08,0.316
Raima Database Manager,2019-09,0.328
Raima Database Manager,2019-10,0.319
Raima Database Manager,2019-11,0.329
dbname,date,value
K-DB,2016-03,0.005
K-DB,2016-04,0.005
K-DB,2016-05,0.015
K-DB,2016-06,0.034
K-DB,2016-07,0.034
K-DB,2016-08,0.031
K-DB,2016-09,0.027
K-DB,2016-10,0.031
K-DB,2016-11,0.030
K-DB,2016-12,0.029
K-DB,2017-01,0.025
K-DB,2017-02,0.013
K-DB,2017-03,0.005
K-DB,2017-04,0.005
K-DB,2017-05,0.005
K-DB,2017-06,0.005
K-DB,2017-07,0.005
K-DB,2017-08,0.005
K-DB,2017-09,0.005
K-DB,2017-10,0.005
K-DB,2017-11,0.005
K-DB,2017-12,0.005
K-DB,2018-01,0.005
K-DB,2018-02,0.005
K-DB,2018-03,0.005
K-DB,2018-04,0.005
K-DB,2018-05,0.005
K-DB,2018-06,0.005
K-DB,2018-07,0.005
K-DB,2018-08,0.005
K-DB,2018-09,0.005
K-DB,2018-10,0.005
K-DB,2018-11,0.005
K-DB,2018-12,0.005
K-DB,2019-01,0.005
K-DB,2019-02,0.005
K-DB,2019-03,0.005
K-DB,2019-04,0.005
K-DB,2019-05,0.005
K-DB,2019-06,0.005
K-DB,2019-07,0.005
K-DB,2019-08,0.005
K-DB,2019-09,0.005
K-DB,2019-10,0.005
K-DB,2019-11,0.005
LiteDB,2016-04,0.114
LiteDB,2016-05,0.098
LiteDB,2016-06,0.105
LiteDB,2016-07,0.099
LiteDB,2016-08,0.156
LiteDB,2016-09,0.100
LiteDB,2016-10,0.099
LiteDB,2016-11,0.095
LiteDB,2016-12,0.080
LiteDB,2017-01,0.074
LiteDB,2017-02,0.042
LiteDB,2017-03,0.075
LiteDB,2017-04,0.118
LiteDB,2017-05,0.231
LiteDB,2017-06,0.198
LiteDB,2017-07,0.221
LiteDB,2017-08,0.282
LiteDB,2017-09,0.318
LiteDB,2017-10,0.307
LiteDB,2017-11,0.451
LiteDB,2017-12,0.516
LiteDB,2018-01,0.412
LiteDB,2018-02,0.558
LiteDB,2018-03,0.374
LiteDB,2018-04,0.403
LiteDB,2018-05,0.279
LiteDB,2018-06,0.387
LiteDB,2018-07,0.419
LiteDB,2018-08,0.680
LiteDB,2018-09,0.740
LiteDB,2018-10,0.648
LiteDB,2018-11,0.712
LiteDB,2018-12,0.679
LiteDB,2019-01,0.701
LiteDB,2019-02,0.664
LiteDB,2019-03,1.020
LiteDB,2019-04,0.873
LiteDB,2019-05,0.810
LiteDB,2019-06,0.955
LiteDB,2019-07,1.289
LiteDB,2019-08,0.910
LiteDB,2019-09,0.879
LiteDB,2019-10,1.012
LiteDB,2019-11,1.033
ActorDB,2016-03,0.117
ActorDB,2016-04,0.114
ActorDB,2016-05,0.110
ActorDB,2016-06,0.105
ActorDB,2016-07,0.104
ActorDB,2016-08,0.102
ActorDB,2016-09,0.088
ActorDB,2016-10,0.091
ActorDB,2016-11,0.103
ActorDB,2016-12,0.114
ActorDB,2017-01,0.116
ActorDB,2017-02,0.107
ActorDB,2017-03,0.112
ActorDB,2017-04,0.108
ActorDB,2017-05,0.101
ActorDB,2017-06,0.113
ActorDB,2017-07,0.133
ActorDB,2017-08,0.152
ActorDB,2017-09,0.162
ActorDB,2017-10,0.152
ActorDB,2017-11,0.141
ActorDB,2017-12,0.129
ActorDB,2018-01,0.112
ActorDB,2018-02,0.102
ActorDB,2018-03,0.103
ActorDB,2018-04,0.103
ActorDB,2018-05,0.106
ActorDB,2018-06,0.123
ActorDB,2018-07,0.130
ActorDB,2018-08,0.131
ActorDB,2018-09,0.115
