,sister_comment
215,杜蕾斯文案永远👍百万年薪值得 
216,回复@姬姬莓莓:昨天戴了 
217,@吃可爱多长大的sky  杜蕾斯广告好评 
218,@UNINE_嘉羿 
219,回复@Lesoooooild_:老负责了 
220,@Sun__fish  
221,我是在浏览器上看到的新闻 连滚带爬爬到了微博里，点个攒，蕾丝宝宝的老粉丝年年必备 
222,@UNINE_嘉羿 
223,@UNINE_嘉羿 
224,@UNINE_嘉羿 
225,@UNINE_嘉羿 
226,@UNINE_嘉羿 
227,@UNINE_嘉羿 来学做人 
228,杜蕾斯文案 
229,@玉米别再懒了 
230,@UNINE_嘉羿 
231,杜蕾斯每次的创意都 
232,这个文案是很绝 
233,@UNINE_嘉羿 
234,@UNINE_嘉羿 看看咋做人 
235,这个文案真的好棒 
236,@UNINE_嘉羿 看看 
237,这个好！！ 
238,回复@星期五见面啦:哈哈哈哈哈哈哈哈哈 
239,回复@L-York:可以 
240,@UNINE_嘉羿 
241,🐂 这文案满分 
242,牛 
243,@UNINE_嘉羿 
244,@UNINE_嘉羿 
245,回复@hell02912:杜蕾斯的广告永远在线👍👍👍 
246,@UNINE_嘉羿 
247,@moononthe16th wow 
248,@UNINE_嘉羿 
249,@UNINE_嘉羿 
250,@UNINE_嘉羿 
251,@UNINE_嘉羿 
252,回复@氟啉多姆:哈哈哈哈那确实 
253,创意不错子，出来挨夸 
254,@UNINE_嘉羿 
255,回复@鸭梨也有Kiseki:我觉得咱可能缺的是时运，毕竟这么渣的素材不是每天都有 
256,66666 
257,@UNINE_嘉羿 
258,回复@氟啉多姆:看到同学转了 害 要是我有这创意 大广赛手到擒来 
259,回复@小李屁话超级多:啊哈哈哈，他家文案都不错 
260,@鸭梨也有Kiseki 太到位了 
261,@UNINE_嘉羿 
262,不错子呢！哈哈哈 
263,@UNINE_嘉羿 爬过来看 
264,@UNINE_嘉羿 
265,应景 
266,满意了。 
267,@UNINE_嘉羿 
268,回复@想换一个甜甜的昵称:啊？ 
269,@UNINE_嘉羿 
270,每次文案都这么 
271,@UNINE_嘉羿 来看看这则广告 懂了吗懂了吗 
272,@UNINE_嘉羿 
273,@UNINE_嘉羿 
274,@UNINE_嘉羿 
275,@郭重开 
276,@山南花夏 
277,回复@岛屿炽夏:durex终归是durex 
278,@unine_嘉羿 
279,回复@Saltnpeper:是不是 绝 
280, 
281,@阿曦啊是阿曦啊777 
282,回复@_再不努力就废了:毕竟这哥不是一般z 
283,@嘉婧的佳俊 你好骚啊！点赞的都是啥微博 
284,回复@-东施效颦不笑娼-:好多人艾特某人 
285,@UNINE_嘉羿 
286,哈哈哈哈走心了@_再不努力就废了  
287,@UNINE_嘉羿 @UNINE_嘉羿 @UNINE_嘉羿  重要的事情说三遍 
288,@UNINE_嘉羿 
289,@UNINE_嘉羿 
290,@UNINE_嘉羿 
291,回复@只有饼干可以吗:这就是尼要绿我的理由吗 
292,回复@不愿唠嗑的小柯:要不选第一个？ 
293,@戏路很宽-422 
294,@iiiang_ 文案绝了 
295,回复@闻闻鸽鸽:骚鸭 
296,其他广告人被埋冤和自我反思开始ing……直到下一次 
297,@金钟大 
298,回复@姬姬莓莓:我要戴这个我要戴这个 
299,不愧是您！阿杜 
300,@隔壁王丶师傅  
301,哇 
302,@我想要个大房子 
303,包括喜当爹吗 
304,少生孩子多种树 
305,回复@20岁的你笑起来要人命:有意思 
306,回复@珍波椰爱好者:难道我就不能都办了？又戴又当你爸爸 
307,回复@菠萝头说:你还敢说 哈哈哈哈哈哈哈哈哈 操  哈哈哈哈哈哈哈哈哈 ¡评论配图 
308,回复@喔唷肥肥yo:哈哈哈哈哈哈哈哈哈哈哈哈哈 
309,回复@马邦志的父亲:dls文案高级 
310,大金钟好好看看 
311,@熟栗子- 喔~这个广告有点厉害 
312,回复@珍波椰爱好者:？？？？ 
313,@老猪佩奇MAX 
314,@hansuck韩舒克 ？？？ 
315,@马邦志的父亲  
316,回复@奔跑怪物echo:那可不一定 
317,回复@我爱吃早饭午饭和晚饭:是俺太菜了 
318,百万文案真的 
319,@我要快快长头发 
320,杜杜，用了你们这个玩意儿成不了父亲。 
321,@绘世灵长安 这个文案可以 
322,💯 
323,@你看看大伙都没有笑 牛批奥 草莓什么时候安排 
324,内容过于真实与优秀 
325,文案很棒 
326,回复@依然塞克西:可不是咋滴 
327,#父亲节# 选择一台净水器，保护自己的健康还能保证家人健康，也是负责任的的表现 
328,优秀，好久没看你们文案了 
329,回复@葡萄柚柠檬茶搭甘露醇呀:用了杜蕾斯就做不了父亲了 
330,这次文案很棒，希望所有男人都能有这样的意识 
331,@反重力薄荷糖  看看人家！ 
332,@Charonronm 
333,@拋拋蔡 ，每次看到漂亮的文案，我就想起你 
334,@UNINE_嘉羿 
335,@Mc羽中 
336,@只会哆来咪 
337,杜蕾斯的文案从来没让人失望 
338,@奔跑怪物echo 
339,@Lemonality-Hua 
340,太会了 
341,不愧是你 
342,这文案水平，真的一直很在线。//@然后下面就没了: //@颜文字君:(๑⁼̴̀д⁼̴ ๑) ？果然来了//@M大王叫我来巡山://@插花大师:哇哦//@快乐追星十级学渣:不愧是杜蕾斯//@小狗斯特:好棒//@高级德语:不愧是你//@-瑜璟临江-:不愧是你//@喵子biu:不愧是杜蕾斯 
343,@森木的森-森木的木 来看看 不错子 
344,这次文案不错 
345,牛逼兄弟，而且我爸我在我妈生完我没以后就结扎了，真的🐮  
346,文案一如既往的牛逼爱了 
347,…… 
348,回复@敦敦--奈啊:这个广告创意绝 
349,回复@十七灵: 
350,真特么千万级文案 
351,@蔡钢花儿 @是婉怡不是玩意 杜蕾斯的文案从不认输 
352,回复@云横横:？ 
353,回来了回来了！ 
354,回复@八级重症公主病:难得换运营之后有个稍微好点的文案了 
355,杜蕾斯啊杜蕾斯，不愧是你，团队好牛啊 
356,回复@普鲁士bot:@巴斯光年好吃 @岚-VN- @Mueondan @泡在cheese里 @xxxeu1 哈哈哈哈哈哈哈哈哈哈哈哈 
357,文案满分 
358,文案月薪多少 
359,@大飞啊啊啊啊啊啊啊  
360,不愧是你 
361,回复@阿苏苏飘了: 
362,@棉发糖嘿 人家的文案 
363,@時代親父 
364,srds 父权社会可真好笑，不伤害人都美名为有责任了吗？这话不就跟“不要上街捅别人的肚子 是一种负责任的表现”一样好笑吗 
365,回复@帅鹅_:闪了您的腰 
366,回复@帅鹅带领的呆头鹅:成熟男人的高光时刻 
367,杜蕾斯的文案从来不会让人失望 
368,回复@哒嗒王:你选择了冈本 
369,@肉松手抓饼诶 ？ 
370,@江湖郎中冯半仙 
371,@Saltnpeper 真绝  
372,@M厂长从不回头看鸡 文案满分 
373,@搁浅鱼 
374,回复@iokzDyi:咋接还有 
375,回复@revrese: 
376,回复@嵬崽已下线:你这冲浪速度也不是虚的 
377,回复@revrese:哈哈哈哈哈哈哈哈哈哈哈哈哈你一天在看些撒子哈哈哈哈哈哈哈哈哈哈哈哈哈 
378,回复@小刘呱呱呱:爸爸爱你 
379,文案满分💯 
380,回复@月神mochi:不错应该让某人看看 
381,@经过反复改版 
382,哈哈哈哈哈哈哈哈哈 
383,不愧是不止一次被各种公众号“吹捧”的文案水准 
384,回复@LoyaltytoHappiness:哈哈哈 服了！ 
385,回复@海底加湿器:我说这个广告可 bb 
386,回复@酒沢井咲:干嘛干嘛 暗示我什么 说 
387,@海底加湿器 
388,在这里拉踩某憨批避孕药广告 
389,杜蕾斯，不愧是你 
390,回复@1iinngg:别吓我 
391,@帅鹅_ 杜蕾斯文案永远在线 
392,回复@小袁同学的情感录:明年过父亲节 
393,@1iinngg 文案 
394,@UNINE_嘉羿 环子听我的，今天父亲节，长点心吧 
395,回复@一波哟哟哟哟:哦咦 
396,回复@又見藍色時分:文案组new bee 
397,@好笑吗一天到晚就知道哈哈哈哈11 
398,@伊莱扎小姐姐 
399,这个文案满分。//@M大王叫我来巡山: //@插花大师:哇哦//@快乐追星十级学渣:不愧是杜蕾斯//@小狗斯特:好棒//@高级德语:不愧是你//@-瑜璟临江-:不愧是你//@喵子biu:不愧是杜蕾斯//@饕餮之橘:敢问文案月薪//@Adling:杜蕾斯你是个天才 
400,@王槑槑幼儿园园长 
401,@_Vegeta__ 
402,@棠颂echo 
403,@阿苏苏飘了 好棒啊 
404,文案满分 
405,杜蕾斯文案永不失手 
406,@Chocolatecheeks_ 
407,回复@定學是應:牛逼，热点跟出新高度 
408,回复@神秘酷娃没头脑:确实好 
409,蕾蕾子好强 
410,谢谢你，冈本 
411,一级文案！ 
412,简单而有力的文案 
413,回复@苏枕雪:噢耶，那我还怪成熟哈 
414,@流風翼衡 
415,@温柔岁月里 爱了 
416,文案牛逼 
417,回复@一定要快乐啊-_:？ 
418,回复@不下雨就很开心:🐂 
419,不亏是你 
420,回复@EmotinalManager:它文案从未让人失望过 
421,回复@即将长到180:哈哈哈杜蕾斯的广告有创意的 
422,回复@李可樂rr:文案鬼才 
423,@生活这么美好丧个屁啊 杜蕾斯的文案 太牛逼了 
424,回复@年轻活力小哥_:想我了吗 哈哈哈 
425,回复@a_niiiiii:下礼拜大姨妈 
426,@别烦我嗄 ？你在赞啥玩意 
427,用与不用，都要负责 
428,@Sherry要努力再努力啊 
429,@无觉生活 文案高光时刻 
430,回复@Xuuv_:？ 
431,@LZWEIWEIWEI 
432,@闻闻鸽鸽 广告大神 
433,@胡巴睡着了 
434,@LovingStrangersL 这个文案 真的不错 
435,🉑 @暴躁阿温 
436,@Serendipiter_ 
437,@塞班-丢雷 笑死我了 
438,@广奕不是广义广弈广艺- 
439,成为父亲路上的绊脚石——杜蕾斯 
440,@LeungHar 
441,@周末愉快噢 这文案 
442,回复@吴尽有苍绿:好久没被人艾特了 
443,@年轻活力小哥_ 
444,优秀优秀 
445,回复@刘狗蜗一盏:满分哈哈哈哈哈 
446,123 
447,回复@差不多的鸡汤先生:买！搞！ 
448,杜杜话中有话。。 
449,这个限流真的ex  要不是转回首页  我都忘了还关注了你 
450,@一位不愿意透露姓氏的麦先生 它的广告总是满分 
451,你说的都对 
452,回复@居山放鶴:你关注挺早啊 
453,回复@壹拾叁个月:没有女方的同意，你就必须带套，对自己负责 
454,@KE-Easy  
455,一打开就是这个广告 厉害 
456,嗯哼 
457,说得很好，都是责任的表现 
458,回复@PrismHoo-:下午鸡吗 
459,回复@Tanruiii: 
460,@Zzzyhhhh_ 
461,节日快乐 
462,就服你们的文案 
463,回复@我不是李德歪:没毛病 
464,可以 
465,回复@TicKyyyy: 
466,文案大师 
467,@NE-ll 
468,@张浩楊 文案天才 
469,百万文案持续上线 
470,回复@东东东m丶: 
471,回复@玉子烧占噗:看过了哈哈哈哈哈哈哈哈哈 
472,文案优秀！ 
473,@阿琛今天也没有sci 你不成熟 
474,回复@椰子奋斗尼古格拉斯凯奇霸王龙:我投杜蕾斯一票 
475,佩服 
476,文案水平下降太多了- - 
477,风格回来点了啊 
478,厉害了 
479,@_你为什么不理我  
480,回复@Eutopian-:下次用这个？ 
481,@Tanruiii 文案绝了 
482,@张申燃 @-yus0813 @很烦没有名字 
483,加鸡腿 
484,回复@iamsocoo1:杜蕾斯在广告上永远走在前列 
485,回复@小朋友的莓莓哥哥:@ 我干啥 
486,大酒店计算机三级 
487,回复@能吃五块原味鸡:文案天花板 
488,@XLSWEET- 选 
489,@·单小葵· 
490,回复@懒蛋的日记:我昨天发的朋友圈没看见咩 
491,@芃总- 杜蕾斯总是这么的 
492,回复@NaLuluu:好牛！我也要去投投杜蕾斯 
493,回复@星野寧寧nekorin:前者貌似也8一定 
494,@星野悠馬mayuyu 这不巧了 
495,回复@菠萝头说:@Ttroety 哈哈哈哈哈哈 
496,@ICEYZY201905 
497,@Paradokkusu 来看看文案 
498,回复@美酱的qq空间:有责任心的爸爸 
499, 
500,@郭發發財 
501,@UNINE_嘉羿 
502,我宣布！这次杜蕾斯的文案赢了！！！！@陆林饮冰 
503,回复@夜风无意作清歌:很少让人失望的文案 
504,@Z年糕粑粑 
505,回复@摄影师二馬冯:爬！ 
506,归纳
507,感谢有你，没有过上父亲节 
508,@一只想睡觉的koala 百万营销 
509,@BOSTON-369 
510,文案又秀起来了 
511,不成功，便成人 
512,暗示用杰士邦不成熟。 
513,@欧小胖53770 这文案 
514,牛掰！ 
515,@2264serious 
516,@你濠哥 
517,回复@每天画画了吗:冲这个买买买！！ 
518,@温柔夫妇-拓宇 
519,杜蕾斯的文案，从来没让我失望 
520,@河大小强 
521,杜蕾斯的文案越来越贴近生活了 
522,回复@一定要吃火锅:负责！ 
523,@一定要吃桃子 ! 
524,@一只鱼儿飞上天 
525,回复@杜蕾斯官方微博:哈哈哈哈哈哈哈哈哈哈哈@你要几个王秀羽 @樱桃炒丸子呀 
526,@还我爷爷啊 
527,@MESSI_10 
528,回复@今天不吃外卖啦:一直很出众 
529,@一位淑女 这文案 
530,@你弦爸爸 
531,@是个大叔哦 
532,回复@懒猫与你-:哇哈哈哈哈哈哈哈不错不错 
533,文案从未失望过 
534,@ill兮  
535,@栀子椰 速度来学学 
536,哈哈哈绝了@GinGe2 
537,@叭喂小狐妖 文案一直牛逼 
538,@coseaokie 来康 
539,你们的文案每次都是棒棒哒 
540,！ 
541,厉害了 
542,@海海ya @哥哥是wo的啊啊啊啊啊 @橙汁9儿 牛 
543,@今夜晚无月色z 
