,mayili_comment
215,优秀的马伊琍 
216,姐姐❤ 爱你么么哒么么哒！ 
217,姐姐❤ 
218,感觉我的前半生，演的就是你自己差不多。 
219,感觉我的前半生，演的就是你自己差不多。 
220,姐姐非常喜欢你期待你的新戏 
221,靳东适合你 
222,希望找到灵魂的伴侣，但彷佛也难！ 
223,回复@草莓拿铁Ryan:对。非常赞同 
224,加油，一切会好起来 
225,要美丽！要幸福！ 
226,很开心你做这样的决定，祝福以后一定越来越好 
227,前半生已往矣，愿你找到你的贺涵，一起走过后半生。 
228,女神安好 
229,什么节奏 
230,怀孕期间，因为母乳问题，不自信，经常跑来你这里找安慰，从你的微博里知道 母乳是最好的选择，所以坚持了下来，并且 顺利实现了母乳喂养，真的感谢你❤  加油，支持你 ❤ 
231,离开才是对的选着。你足够优秀，何必浪费时间在无用的人身上。永远支持你。 
232,加油 
233,智者不入爱河 
234,祝你余生幸福 
235,回复@Pisces_李可:破镜终难重圆，和好了心里面也会有疙瘩 
236,回复@Pisces_李可:破镜终难重圆，和好了心里面也会有疙瘩 
237,恭喜恭喜，其实你们早就该离了 
238,“我养你”是男女之间最毒的情话，还是喜欢💕《我的前半生》 
239,感觉好难过， 
240,文章是配不上你的 
241,不管怎么样都觉得你是个成熟的大女人 
242,像极了的情侣的头像换了吧 
243,还有个问题就是 以前的相片怎么处理 
244,加油！女神 
245,和好如初太难了 
246,想哭 
247,说的好 
248,你值得更好的 
249,各自安好 
250,什么都会过去的，别为难自己了。 
251,祝你幸福！爱你 
252,卧槽！ 
253,意料之中 
254,你们的世界，没人懂 
255,各生欢喜 
256,祝福你们往后余生都幸福。 
257,加油 
258,各生欢喜 
259,加油💪 
260,然无对错，记得欢喜 
261,希望你一切安好 
262,加油女神，你是最优秀的 
263,这个属老鼠🐭这么聪明有个性和魅力的男人，怎么就做了一个这样的选择和决定了。搞不懂、整不明白。（奋斗）这部电视剧开启了，无数80后90后的青春梦想和人生思考。一晃十年了。 
264,请不要在评论谁好与坏了，她不容易 
265,你陪文同学经历过的所有事  他都不会找到第二个人能陪他经历了 新欢可能会很好 但永远抵不过旧爱  
266,然无对错？ 
267,自己一定要幸福 
268,回复@赵天天:马上国庆啦 祝伟大中国生日快乐 
269,支持你，你是最棒的。加油。马司令 
270,祝福！你会更好的 
271,你会好好的 
272,明星之间的真爱少之又少，相互利用，各取所需可能才是他们走到一起的真正原因 
273,破镜是不会重圆的，有裂缝怎能修补呢？ 
274,解脱 
275,你值得更好的 
276,文章不懂得珍惜你这么好的女人 
277,支持你，余生会找到幸福的自己！ 
278,突然觉得松了口气，多年以来，压抑。 
279,找你的贺涵去吧 
280,祝以后更好 
281,哎 心疼 
282,心疼你，以后要好好爱自己。 
283,永远支持你，但这辈子永远无法原谅文章，他不配 
284,马伊琍值得拥有更好的！破烂丢掉了让别人捡去吧！ 
285,深爱过、努力过、此情有憾， 是自己内心最痛的独白吧 
286,加油 
287,希望能复合 
288,6 
289,希望能符合 
290,回复@Pisces_李可:说得好 
291,最爱马司令 
292,我心中永远的女神，爱你❤  
293,文章好演员！也是老百姓，也是人，犯错难免。谁吃饭不掉过饭粒；老虎还有打盹的时候呢！人家马伊琍不离不弃文章自有文章的魅力，也自有马伊琍的胸怀。看人看长处吧，别揪着人家的错不放！ 
294,对你而言，新的开始。 
295,好好珍爱自己 
296,愿好  
297,破镜不可能重圆，放弃成就更好，支持你哦，加油 
298,唉😔唉😔唉😔唉😔唉😔唉😔唉😔唉😔唉😔唉😔唉😔唉😔 
299,回复@赵天天: 
300,再平常的一件小事，何必大家大惊小怪 
301,恭喜 
302,各自安好 
303,曾經深愛過的一段感情終究無耐畫上句號，有些難過，心疼您五年來的努力付出，心疼俩孩子。尊重您的選擇放下，隨心就好，唯有祝福您往後余生，过得好好的，一直幸福開心快樂，永遠支持陪伴您 
304,努力，彼此成就哎 
305,各生欢喜  甚是难过 
306,痛失我琍！再无爱情！喜欢十几年的夫妻，不管怎样磕磕绊绊都过来了，没能抵过喧哗 
307,一辈子很长 长到一眼望不到的边际  一辈子很短 短到一转身就是整个青春 愿我们都可以快乐的度过每一天 
308,还是觉得可惜了 
309,从此独自美丽 
310,加油 
311,马伊琍是我最喜欢的明星，而且我只喜欢一个女明星，往后余生加油！ 
312,愿各自安好，加油！ 
313,握草？ 
314,各自安好💔 
315,一辈子的女神，你会一生幸福的 
316,你值得拥有最好的！ 
