,wenzhang_comment
168,和好容易如初难 
169,你要加油 
170, 
171,文章加油。 等你断剑重铸，其势归来。 
172,回复@卿爱的5277:没事，我一直挺他！不管怎么样，生活与其他与演技无关 
173,还是觉得可惜 
174,且行且珍惜 
175,离了也好，彼此祝福吧，文章同学你该拿点作品出来了，专心事业吧，希望你能越走越好，还是很喜欢你的作品的 
176,加油 
177,且行且快乐 
178,是不是又在一起了？ 
179,以后各自安好吧，喜欢你们两个 
180,和好容易如初太难，且行且珍惜 
181,这些年委屈你了 
182,哎愿都好吧 
183,宋仲基发誓说跟宋慧乔不离不弃；李晨说会一直保护范冰冰；谢霆锋说会跟张柏芝好好在一起，文章说这辈子最骄傲的是马伊琍……世间变化那么多，真正永恒不变的，陪在你身旁的只有国家！ 
184,文章同学，加油↖(^ω^)↗，你的生活与别人无关，专心演好戏。大众看到的都是能看到的，你们的生活和遇到的艰难别人看不到，都无权评价和议论。过好自己，加油↖(^ω^)↗ 
185,哥，加油，以后你们都要好好的 
186,祝你幸福吧，以后越来越好 
187,哈 
188,谢谢放过我们马伊琍姐姐 
189,额 三伏天里的冷水 
190,回复@Abby_耿小毛:造谣是会被拉入失信黑名单的，请慎言 
191,谁都有犯错的时候，总不能背着这个错误过一辈子吧 
192,突然想起那首歌
193,还有网友又想起了曾经的那部电影…… O网页链接 
194,隔了一天你俩还在热搜 没事了下去吧 我们都知道了 
195,为什么！ 
196,啥情况 
197,好可惜 
198,看不了这种新闻，突然不由的哭出来了，感情好脆弱 
199,他主演，导演的哪部作品都是精品。就为这个，一如既往的喜欢，支持他。加油加油加油加油！ 
200,厉害了 华为赞助 
201,爱她为什么要离开她，心疼，心疼 
202,各自安好。 
203,确定爱嘛？ 
204,确定爱嘛？ 
205,若愛，请深愛。若離開，请果斷。别冷落，了那心，也别错过了那熱情 
206,文章同学也有自己的难处，希望大家客观看待 
207,好的 
208,回复@Isywer-:马伊琍文章 
209,对于这种事，也只能说往后余生一切安好，最好自己！ 
210,加油男神！我从奋斗开始喜欢你，一直到现在。期待你的新作品！ 
211,各自一切都好。 
212,各自释怀是最好的结果 
213,你们的情侣头像还没换 
214,加油！爱马爸爸！ 
215,这些年你也挺难的，男人总会犯错，只怪你是公众人物，现在终于解脱了，期待你更好的影视作品，你会得到属于你的幸福生活，加油 
216,依然喜欢你，希望大家不要再因为那件事攻击你了，五年了，你也承受了错误的后果，你们之间的事情也许真的只有自己最清楚，谁也没资格去指责评论，亲情的守候最长久！支持你！！@文章同學 
217,一无所有接纳你，功成名就就半路 
218,心疼马伊琍，希望你以后不负爱玛 
219,心疼～ 
220,为什么分开，马伊利在你难过的时候还在你身边！ 
221,随心所愿 一切安好 
222,爱的时候是真爱，不爱的时候也是真不爱… 
223,真的想好了吗 
224,辜负的不止一人 最终伤人终伤己 望余生，各自安好吧 
225,！！ 
226,回复@黄老板诶:心疼她你去那边说去 
227,希望你一切都好 
228,祝福祝福 
229,@芒果味儿可爱多 
230,果然破镜难重圆 各自安好吧 
231,希望你们越来越好 
232,和好容易，如初太难 
233,你负她的，终究一辈子还不完 
234,两人都喜欢用华为 
235,唉，居然离了 
236,虽然结局是那么的不尽人意，但是这也许就是上天最好的安排 
237,我找了半天没有人骂骂咧咧的。 
238,余生很久，向前看吧。 
