content,gender,userlevel,score,ticket
不想多说，烂片，自行避雷！佩服自己明知被“蒲松龄”支配的恐惧还鼓足勇气来看这个东西，结果不出所料。脑c的科幻魔幻风故事、无厘头的人设台词、1分钱特效基本导演都做到了！施瓦辛格被放在首位实则没多少镜头 典型“2019’s公寓式卖狗肉🤣” 成龙老已 不自知，一系列的圈影片对他不再抱任何希望了，拿了终身成就奖就快点退休把您,1,5,2,0
成龙很帅啊真的不错,2,3,10,0
好看 ，成龙大哥压阵，不过影院人少 我自己办了个全场,0,1,10,0
无敌坑，就预告片那点，俄罗斯的怪物一代而过，纯属烂片。想表达什么都没明白,1,2,1,0
搞不懂那些说不好的人是咋想的，这部电影又不是拍给你们看的，国内都没有宣传，很明显这是走国际市场的电影，很多人喷人物造型和服装时代背景我也是醉了，记得当年的80天环游世界也有很多故事是在中国的，而且还牵扯出了广东十虎，根本就不是真实历史，人物关系也不对，最后还造飞机，现在的喷子又要喷不合理了。龙叔和施瓦辛格对打感觉很搞笑依旧的成龙式动作喜剧，最后两人成了朋友。成龙的女儿叫成兰，谐音很像成龙，最后成龙说龙是可以感受到你内心的善恶的，它可以分辨是非主持正义，还告诉施瓦辛格龙就在中华大地上，天上有，海里有，山上有，言下之意我们中国人就是龙的传人。,1,5,8,0
这是我第一次看电影快睡着了的，真心不行呀,1,3,4,0
为了大哥来滴，给十分～睡了一觉，不过还是坚持看完了,1,3,10,0
虽然情节不够严谨，但是寓意很好。“巨龙，巨龙你擦亮眼，永永远远的擦亮眼“。成龙大哥的爱国心，希望伟大祖国富强！,1,4,5,0
请观看者理解一下，龙叔早已不年轻拍不出以前的电影了。我想说成龙现在拍电影完全不是为了赚钱，只不过是为了自己，我记得龙叔的一个个人片段说过，他想在之后拍一些自己喜欢的电影，因为年轻的时候一直没拍成，想在退休前拍一些自己喜欢的电影。那些说龙叔拍传奇这不好那不好的，你们知道内幕嘛？传奇能请这么多巨星拍广告说明背后的势力不小（或者说是那个原因）之前听过一种说法（我只能大致的说说表达不全）传奇先是合成广告（就是将他们的人物粘贴复制在上面，再模拟语言拍出广告，人物动作也是可以模拟）多次宣扬这种广告，经纪人公司那边也就知道了，经纪人那边跟传奇打官司，传奇那边选择巨资私了（后面的字说不够了）个人猜想侵删,1,2,10,0
打着成龙的名号,1,4,1,0
也好看，成龙大哥演的更好的,2,3,10,0
特效不错、好评,1,3,10,0
我觉得还不错，规规矩矩的商业片，从演员阵容到剧本到制作都很精良。画面很美，质感不错，场面也是可以的。还有就是姚星彤还是那么美。,1,3,9,0
这个电影结局挺不错的，不过6.5分，有点低了,2,5,10,0
还不错啊！！,2,2,4,0
开始以为是烂片，结果还是可以的，特别幽默，武打动作也很赞,2,3,10,0
挂羊头卖狗肉   剧情太老套 都能猜到下一段剧情是啥,1,2,7,0
这辈子看成龙演的最烂的电影,2,2,1,0
是一样的电影,1,1,1,0
垃圾   买的就是情怀,0,2,1,0
不知道怎么说，有心疼但是更多的还有失望，龙叔加油！！！,1,3,7,0
,0,2,10,0
好好好好好看,0,3,10,0
好好好好,1,2,10,0
剧情尬，台词尬，演员尬，意义尬，上次看到这么尴尬的是流浪地球，流浪地球还比它有意义，有画面,0,3,1,0
成龙没出现在重要位置上，一般般,2,5,6,1
我滴妈呀～适合10岁左右的看～居然还做了3D～故事情节和画面感都很low～电影院空到要包场了～烂片～,0,4,5,0
只能说将就看，没以前的好看了,0,2,8,0
为什么第一天的拍片率就这么低，真的奇怪,1,4,8,0
非常好看的一部剧，,2,3,10,0
的确还是我的欣赏力不够。,1,1,6,1
特别的好看,0,3,10,0
好看，奔着是成龙演的去看的,2,3,10,0
非常精彩的一部电影,1,3,10,0
我就是奔着大哥去的，结果大哥是客串，大哥自从代言了传奇学会骗人了，说好的奇幻呢，黑魔法白魔法呢，从头到尾就是功夫，这是我看过成龙最烂的片了,1,3,1,0
啥玩意   我都不想吐槽拉   真的   太失望了  一星都不想给,1,3,1,0
蛮好的ヾ ^_^♪个人觉得没有网上评论的那么差～成龙只是打酱油的而已～不是主演～,0,3,8,0
科幻与武打的结合！情节紧凑！成龙作品值得一看,1,2,10,0
不好看。。。。。。。,0,2,5,0
好看 支持龙哥,0,2,10,0
就凭施瓦辛格和成龙，必须给满分,2,4,10,0
还行吧，成龙变成打酱油的了！！,2,2,10,0
马丽是女王！,1,4,4,0
看过最扯的电影,1,3,1,0
不想多说，非常无聊的一部电影！,2,1,1,0
不能在烂的一部片子了！,1,1,2,0
感觉还是很好看的,0,2,6,1
感受到了来自东方的神秘力量。,1,2,10,0
除了特效还不错，剧情方面还是不要期待了,2,3,5,1
1分 感觉有点高,1,1,1,0
感觉不太有冒险感,2,3,8,0
性价比高！挺好看的！,2,2,10,0
电影挺好的。,1,3,8,0
还好吧。没什么感觉…………,2,2,9,0
电影个人感觉很棒 战斗燃爆！！！就是前面的小孩太吵 极度影响观影体验！,1,2,10,0
正能量无限！,0,3,10,0
成龙打不动了，一群成年人演了一出孩子看不懂大人不屑看的中世纪童话,1,3,5,1
10分是给成龙大哥的，甩链子的镜头特别帅！我娃说龙的镜头很酷！可以看，比上海堡垒强多了！,0,3,10,0
这片子居然有7分，我真的后悔来看,1,2,1,0
看在龙哥的份上，我给八分。,0,3,8,0
史诗级别的烂片，史无前例的巨作，,1,1,1,0
场景好，拍摄手法好，演员好。剧情烂。既然提到了俄罗斯那条线，到了结局也没有交代。,1,2,5,0
刚开场就想走的，有木有啊，有木有…,1,2,5,1
我说是一坨屎没人有意见吧,0,2,1,0
能在烂点吗？**,1,3,1,0
冲着成龙和施瓦辛格去看这部电影，非常失望，故事情节很烂,2,3,3,0
成龙好帅哥,2,3,10,0
垃圾龙拍这部片纯粹只是为了睡姚星彤，靠,1,4,2,0
看明星的片，情节简单,1,3,5,1
纯属给几位老戏骨蜀黍的分吧=_=一股子洋味道的中国神话还是玄幻故事的样纸…男人的发饰朝代都参差不齐看得有点懵哇⊙∀⊙！也就成龙和施瓦辛格搞笑比武有点看头…那个女主…演技无语配音无语一脸僵硬 融合了好几张韩国女明星的五官轮廓…不知说啥好这种水准到底怎么选上的呢,2,4,6,1
还不错,1,3,10,0
哈哈哈红红火火恍恍惚惚,1,2,10,0
如果不是给龙叔面子我一分都不想给，全程拍的跟小孩过佳佳似的，我丢,1,6,1,0
历史感，场景感拍的不错，内容感还差点火候，不是很精彩，也是一次新的尝试。中外合作电影，多拍点优秀片子出来。,1,3,7,1
整体感觉还是不错的 成龙和施瓦辛格戏份有些少了,1,3,8,0
红红火火恍恍惚惚,1,2,10,0
成龙的片没落啦！,1,3,4,0
十分一般，不好看！,1,4,6,1
喜欢龙哥的电影！,1,3,10,0
属实看不懂，看完了毫无笑点,1,3,6,1
呵呵，施瓦辛格我最后才看出来,0,3,10,0
成龙的片子约拍越烂了、现在知道为啥没人看了、感觉成龙已经过气了，该让位了,0,3,1,0
不值得去看的电影,1,2,1,0
做游戏就认真做游戏拍什么戏坑人,1,2,1,0
背景架空，理解了好半天才明白，，,0,2,8,0
一般般吧能看,1,3,6,1
我觉得这么棒的电影不应该这么低分吧,2,3,10,0
成龙的商业片，大牌明星老了圈钱了，剧情加动画片,1,3,6,1
一般般 虽然都是大佬 但是真心没啥感觉 内容平庸无奇 还没有哪吒好看,2,1,5,1
这个电影真的吊，成龙，施瓦辛格露了两面 很棒,0,2,1,0
马丽正经起来…… 不知道姚星彤对戏的时候有没有笑场呢哈哈哈哈哈,0,2,10,0
这尴尬的剧情，成龙大叔都拯救不了的尬剧，这应该是成龙大哥演的最差的一部电影了吧,2,2,4,0
故事背景真的够宏大，姚星彤的打戏填补了我最近的空档期,2,3,10,0
史诗级烂片，不建议大家去浪费钱,1,1,1,0
还可以吧，3D效果很好,1,5,7,1
整部电影还蛮有童话故事的感觉，没有网上说的那么差啊，话说姚星彤从男装一点点转变到女装的那个镜头真的有被惊艳到，打戏也很精彩,2,2,10,0
龙叔的电影都非常好，再加上施瓦辛格更是锦上添花,0,2,10,0
失望。。。。。。。。,0,3,1,0
还行，成龙老了,0,2,8,0
支持姚星彤，利用科技手段创造的巫术也挺有想法,0,3,9,0
姚星彤的打戏很精彩，尤其是最后一人分饰四角那段，看的好爽啊；巨龙苏醒时和成龙互相心灵感应到的那一刻，很感动。,2,3,9,0
浪费时间，成龙晚节不保,1,4,1,0
中俄合作，特别好，很神奇,1,3,9,0
看到底都不知道演的什么玩意,1,3,1,0
姚星彤的实打实的高难度动作让人惊艳 内地电影市场就缺这样有实力还努力的演员,1,4,10,0
为什么要有个邪恶的黑魔法，看成龙斗斗嘴，姚星彤练练拳不好嘛,2,4,10,0
爱看这种魔幻电影 出乎意料的是又带了点童话的感觉 姚星彤的打戏好棒 帅,1,5,10,0
老实说 看了简介真的觉得是部爆米花 但是为了还成龙电影票 走进电影院 竟然发现还不错 姚星彤身材真好 演技也可圈可点 一人分饰两角毫无压力 给个赞,2,4,10,0
好看啊啊啊啊啊,1,3,10,0
就是喜欢成龙大哥和姚星彤！！,2,3,10,0
太好看了，值得一去。,0,2,10,0
没什么不好的，但是期望太高了，反正我姥是都睡着了～ ,2,3,7,1
很不错的电影，很喜欢，成龙的电影就是出色！,1,2,10,0
大家都买票去看，值得推荐！毕竟能坑一个是一个,0,2,6,0
差，应该是成龙拍的最差的电影了,1,4,1,0
成龙施瓦辛格两个大腕就是打酱油的，什么玩意,0,4,2,0
喜剧变了，成龙大哥加油！！！,1,3,10,0
呃，自己体验吧,1,1,4,0
龙王传说为中国增添了一种神秘色彩!,0,3,10,0
还是不错的，为成龙和施瓦辛格定个好评,1,4,10,0
编剧不行，情节太儿戏了，不严谨，女巫的女侍胸大！女主颜值高～龙王毛钱的特效～～打雷不下雨！成龙阿诺施瓦辛格这些是打酱油的～～客串跑龙套的,1,1,6,0
好！！！！！！！！！,0,3,10,0
没有想象当中的那么好看,0,3,4,0
成龙的电影质量越来越差，嗨,1,5,6,1
能不能打半分？这是什么玩意儿？太难看了！！！,1,3,1,0
成龙施瓦辛格是个幌子,2,1,4,0
没有剧情，刷演员表吧,0,4,3,0
这就是借着成龙和施瓦辛格来圈钱的,2,3,1,0
挺好看的我觉得,2,3,10,0
应该比什么堡垒的好看吧。  ,1,5,1,0
看了以后觉得还可以吧，中国武侠加上西方戏剧很有化学反应，只不过高光都给了姚星彤，星光都暗淡了。,1,5,6,1
很不错的电影 值得一看,1,3,10,0
三星是给成龙大哥的，片子很烂，真的很烂,1,2,6,1
好好看，是8岁小孩子说的哦。说明他也爱看武打片了。,2,4,10,0
实在不知道怎么评价。确实没太看得懂。也许是自己过于愚蠢。,1,6,6,1
超鸡好看，3D效果非常震撼。不愧是大片。,2,3,10,0
看看这就黑屏！真的超级差！已经来了两次都是这样的！,0,1,1,0
棒棒的 元素也有巾帼 龙 精神支柱 很棒,0,2,10,0
中文配音非常奇怪，建议放原版吧。,1,4,5,1
成龙越来越喜欢演这种大片！,1,4,5,0
好看的很  龙叔很奈斯啊,0,3,10,0
还可以，小精灵很可爱,0,2,8,0
感觉还好。特效还行,0,2,8,0
个人觉得很好看啊,0,2,8,0
剧情一般，感觉成龙大哥是配角不是主角,0,3,8,0
无聊的剧情，流量电影,1,3,2,0
很是一般，不好看,0,2,2,0
成龙的作品，支持一下,2,2,7,1
很好看，适合带孩子来。,2,3,10,0
虽然我还没看，冲着两大主角打分的，另外，预告片挺精彩的！,1,5,10,0
太烂了～廉颇老矣～尚能饭否～,1,4,1,0
大哥啊！要不是你，我不可能去看的。太让我失望了，我希望您老还是告老还乡去吧。别再出来哄人开心了，谢谢您了！,1,1,3,0
搞不懂为什么评分低，我给10分，很好看的电影啊！,0,6,10,0
成龙和施瓦辛格还是很出彩的,1,5,8,0
矮子船长很搞笑,0,1,10,0
着实垃圾。。。,0,3,2,0
好看，就是剧情很深奥看不懂（＃－.－）,0,3,10,0
