content,gender,userlevel,score,ticket
场景壮观，内容感人，情节精彩，值得一看，强烈推荐,2,2,10,0
国漫的崛起，敖丙小哥哥好帅,0,2,10,0
非常不错超赞,0,2,10,0
直到现在，我依然觉得自己没有彻底长大，还是那个受到挫折就想回家的小孩。 ​​​,2,2,10,0
值得一看 顶起,0,1,10,0
很nice！！！,1,2,10,0
非常不错的，值得一看,2,1,10,0
太好看(｡･ω･｡)ﾉ♡了,0,2,10,0
言过其实，难免落窠臼,0,2,5,1
特别好，很棒,2,2,10,0
力荐五颗星，不错，值得大家去看哦,2,2,10,0
画风很好，制作不错。觉得情节还是比较老套的,0,1,8,0
但孩子喜欢，呵呵,0,2,6,1
国漫崛起 大人小孩都爱看,2,2,10,0
挺好 总体感觉不错,0,2,10,0
不错，挺搞笑，爆米花配可乐,0,1,10,0
国漫才给9其实只有8,2,4,9,0
我命由我不由天，非常精彩，国产动画的卓越代表！,1,2,10,0
还可以孩子喜欢看,2,3,7,1
看了两次 可以吧,2,3,10,0
超赞，国漫之光,1,2,10,0
太爱了 神仙国漫,0,3,10,0
超级好看啊 我是小妖怪 逍遥又自在,0,2,9,0
14比2了喇叭,2,2,10,0
哦韩跳跳咯啊,0,2,9,0
好看好看好看,2,1,10,0
好看，很好看,2,4,10,0
好看，带孩子去看。,2,2,9,0
国产动画越来越好了,1,3,9,0
超级好看的  强烈推荐！,1,2,10,0
可以去看看。,0,2,10,0
好看，值得推荐,2,1,10,0
好(✪▽✪),0,1,10,0
辣鸡电影，辣鸡主题,1,2,2,0
妹妹很喜欢。,0,2,9,0
国产动画电影，很搞笑，也很感人，改编的也很符合当代社会现状。,2,2,10,0
这个真的好看，国漫支持，喜剧加感动的结合。,2,2,10,0
很不错，三刷,0,3,10,0
非常好看，国漫里的一支奇葩,2,1,10,0
电影很不错！,0,2,9,0
看得见的国漫崛起,1,3,8,0
真心喜欢  国漫崛起,0,2,10,0
很好看！国漫崛起,2,3,10,0
很不错 值得看,0,2,10,0
好看好看好看,1,2,8,0
很好，很棒，很喜欢,2,2,10,0
非常好，哈哈哈哈哈,0,2,10,0
最好看的国漫！！！,1,2,9,0
一二三四五六七,0,2,10,0
很好看(｡･ω･｡)ﾉ♡,2,1,10,0
好看，女儿喜欢,0,2,10,0
怡帆2222,0,3,10,0
还算可以吧！！！,0,2,7,1
很好看！！！,0,1,10,0
很好看，崽崽很喜欢,2,1,10,0
好看好好看看,1,1,10,0
我命由我不由天，不屈服命运，努力改造因果，题材很新颖。,2,3,10,0
好看，还行。,0,3,10,0
特别特别一般,1,1,6,1
评分不高，总感觉很多地方还需改进,1,3,8,0
不错还可以的,2,2,10,0
好看好看好看,0,1,10,0
挺好的，支持国产,0,2,10,0
值得！！！！！,0,2,10,0
好看，还特别搞笑。,0,3,10,0
不错，后面很感人,0,3,10,0
很不错的一部国漫,1,3,10,0
好看……不错……,2,3,10,0
一gui窝里giao,0,2,10,0
很好很好很好,1,2,10,0
刷了两遍，特别喜欢,0,2,10,0
剧情很棒很给力,1,2,9,0
很好 非常好,0,4,10,0
带孩子看的一般,0,1,7,1
很期待，很喜欢,2,2,10,0
好看到爆表！喜欢得不得了,0,3,10,0
挺好看的啊哈哈哈,0,2,10,0
国产成功的动漫电影，期待《姜子牙》，看好你哦,1,3,10,0
挺好的挺好的,2,2,10,0
完美  哪吒  大爱  国产精品呀,1,2,10,0
好看好看好看,2,2,10,0
推荐！那个动画特效太棒了！,0,1,10,0
不错的，值得推荐,2,3,9,0
好看好看好看,0,1,10,0
哪吒的版本有很多，这个可能是我见过最社会，最不可爱的哪吒了。情节很好看，泪点也很多。,0,2,10,0
不错哦！很好看,2,2,10,0
总体都还不错的，值得推荐的。,0,2,9,0
很好看感动(┯_┯),1,3,10,0
非常喜欢，看了好几回,2,3,10,0
不       错,0,2,10,0
还可以吧 差不服,0,1,8,0
好看好看好看,0,3,10,0
喜欢哪吒，非常好看？,2,2,10,0
好看！！好看,2,1,10,0
支持国产动漫,2,2,10,0
感人，那个谁好帅！,0,2,10,0
不错哈哈哈哈,1,1,10,0
值得一看不可错过看看看看起来,0,1,10,0
颠覆了哪吒以往的形象，值得期待,0,2,10,0
第三刷了，很耐看，支持国漫,0,2,10,0
很好看，满意,2,2,10,0
真心不错，形象设计也好看,0,1,10,0
特效不错，台词欠考量,1,3,8,0
不错超赞喜欢,1,2,10,0
还行，不过小孩喜欢看这部电影,1,2,7,1
很好很赞，好评,0,2,10,0
蛮好的喜欢。,2,2,10,0
燃爆了，推荐推荐,0,2,10,0
还可以，满意,0,2,10,0
国产动漫崛起,2,2,10,0
真的很不错呢,2,1,10,0
不错，很不错,2,3,9,0
国产动漫做成这样真的很用心了 支持国漫,2,2,10,0
可以可以可以,1,3,10,0
带着小孩子去的，效果很好。,2,2,9,0
电影很好看！,2,2,9,0
爱了爱了，🤗🤗,0,2,10,0
非常好看，也是最近这几年最精彩的一部国产动画电影了，儿子非常喜欢，连续看了三遍,0,2,10,0
好看好看好看,0,3,10,0
好看好看，cp锁了,0,2,9,0
还行！！！！！,2,2,10,0
好看的电影啊,0,3,10,0
还可以吧，嘿嘿,0,2,10,0
非常喜欢的电影,2,2,10,0
很振奋人心，片中很多话直击人心，不向命运低头，先天没有优势要靠后天努力，不向命运低头，通过努力改变自己的命运,2,3,10,0
好看好看好看,0,2,10,0
还可以吧！？,0,2,9,0
nice nice,0,3,10,0
非常好看！非常感人！喜欢哪吒！,2,1,10,0
可以可以可以,0,2,10,0
很好看，特别棒,2,2,10,0
超级好看 超级棒,2,1,10,0
好看，国产好动漫！,1,3,10,0
还不错，国漫很唯美，我更喜欢白蛇,2,2,8,0
好看好看好看,2,2,10,0
良心剧！特别好！,0,2,10,0
看了两次，很好,2,2,10,0
很好看！！！！,0,2,9,0
非常棒的电影,0,2,10,0
还可以。。。。。,0,3,9,0
从不拘泥任何世俗凡人的目光，我要奔向前方那光芒。是非黑白不需要你讲，我要燃烧所有生命赐予的力量。,0,3,10,0
很正能量的电影，印象深刻的一句话:我命由我不由天！,2,2,10,0
好看！喜欢，,2,2,10,0
很好看，啦啦啦,0,1,9,0
国漫 冲呀 ,2,4,10,0
还行吧！跟朋友一起看的！,2,1,7,1
厉害了，虽然有很多争议，但整体不错，国产的神作了，特效好看,1,2,10,0
国产动画电影的曙光之作，好看！值回票价！,0,2,10,0
完美，太震撼了,2,3,10,0
好看真好看,2,3,10,0
喜欢，但我觉得剧情好像还可以更好一点,0,2,8,0
一部国产动漫的神剧，打开了国产动漫走向世界的大门。,1,3,10,0
超赞的电影 特别好,0,1,10,0
点映看的这部电影，不错，但个人觉得没有吹得那么神，今年看过的国漫，我最喜欢的还是《罗小黑战记》,2,3,8,0
哪吒和敖丙的cp太好磕了。,2,2,10,0
期待后续剧集,2,4,9,0
和男朋友一起去的，这部电影真的很棒,2,2,10,0
好看好看好看,0,2,10,0
国漫 越来越好了  ,1,1,10,0
很好看！！！,1,1,10,0
看了很多遍，挺好的,1,2,10,0
挺好看的  嗯哼,0,2,9,0
希望国漫可以越来越好,0,2,10,0
总的来说，真心希望国漫崛起，这部剧剧情设定感觉一般般，后半部战斗场面自我感觉过于黑暗。,1,2,8,0
电影挺好看的，特效做得很不错，还可以。电影挺好看的，特效做得很不错，还可以。,1,2,8,0
好好！。。。。。,2,2,10,0
好看，一共看了3遍,2,1,10,0
劇情很好看！,1,2,10,0
好看的不行！我已经刷了很多遍！,0,3,9,0
陪父母看的还可以,2,3,10,0
中国的动漫越做越好,1,3,10,0
和喜欢的人一起看喜欢的电影就是最美好的,0,2,10,0
好(✪▽✪),0,2,10,0
很感人，很震撼,1,1,10,0
我在磕cp的路上越走越远,1,3,7,1
国漫的巅峰之作吗？,2,2,10,0
好看，第一次觉得国漫不错,0,2,10,0
超好看，高画质,2,2,10,0
国漫这几年要崛起啊，希望后面的更精彩！,0,2,10,0
动画同样是是门艺术,1,2,9,0
不错。下次继续,2,2,10,0
很好看，带弟弟一起去看的，很值得一看,0,2,10,0
挺好挺好 国产很不错得动画片,0,3,10,0
好看。。。。,2,2,10,0
没看出来哪里好,1,2,8,0
特别特别好看,1,2,10,0
好看得很         真的,1,3,9,0
满分！强烈推荐！,1,2,10,0
看了三遍，哈哈,0,2,10,0
超越好莱坞的国产动画！赞！,1,4,10,0
敖丙好帅啊！,0,3,9,0
炒鸡好看，灰常好看！,2,2,10,0
适合小孩子看,0,2,10,0
还行吧皮卡丘,2,2,10,0
刷新了我对国产动漫电影的认识，非常好,2,3,9,0
国漫，大有希望。,2,2,9,0
我是想小哪吒,0,2,10,0
好高好看看看看,0,2,9,0
国漫崛起！！！,2,3,10,0
超级好看！强推！,0,1,10,0
很刺激，颠覆原来的形象。,1,2,10,0
剧情不是很让人眼前一亮，但是我超喜欢敖丙!好帅啊啊啊,2,3,8,0
国产良心作品啊。,1,3,10,0
很不错，小孩看回来了还很兴奋一直说个不停,2,1,10,0
为我国漫点赞,0,2,9,0
很棒棒了，赞,2,3,10,0
好看好看好看,2,1,10,0
非常好，正能量,0,2,10,0
很好看，，，,2,1,10,0
搞笑的动画片，看着很舒服,2,2,10,0
作为一个成年人，看完了这个电影，我由衷的给满分,1,1,10,0
挺好看的，推荐大家去看,1,2,10,0
好看，支持国产加油,0,2,10,0
好看啊，国漫电影也算是越来越棒了，估计导演也明白了，只有做得好才能圈钱挣钱。但剧情麻烦严谨点吧，能吐槽的剧情太多了。请多多加油，继续努力。,0,2,8,0
还行吧。。。。,0,2,8,0
国漫加油！！！,2,3,10,0
。。。。。好看的,2,2,10,0
支持国产动漫,1,1,10,0
剧情很好很棒，但是我没带三D眼睛好吧我的错,2,2,10,0
好看好看好看,0,2,10,0
孩子很喜欢，好看,2,1,10,0
和儿时的哪吒形象不合,1,3,10,0
好看好看好看,1,3,10,0
很好看的电影,0,2,10,0
非常适合带孩子观看,0,2,10,0
中国动画片能拍得这么好，是我们国人的骄傲，很好看，很喜欢里面的人物,2,2,9,0
孩子非常喜欢，看完电影好久了，还在给我说哪吒怎么怎么了。。,2,1,10,0
爱上吒儿了！！,0,2,10,0
快出第二部！好看好看,2,2,8,0
不错 好看的,2,2,10,0
好，，，，挺好的,2,2,10,0
好看，好看到哭,0,2,10,0
好看好看好看,0,2,10,0
