name|rating|price|rating_count|publisher_country|rank|date
轻颜相机-风格自拍新潮流|4.87024|0.0|2075554|China|64|2020-12-11
搜狗输入法-语音变声斗图表情|4.8761|0.0|5253649|China|65|2020-12-11
招商银行|4.91346|0.0|1922811|China|66|2020-12-11
Soul-《明星大侦探》官推|4.61266|0.0|659966|China|67|2020-12-11
滴滴出行 - DiDi|4.29434|0.0|733605|China|68|2020-12-11
酷狗铃声-手机铃声直接设置|4.83614|0.0|533254|China|69|2020-12-11
今日头条|4.79845|0.0|2744196|China|70|2020-12-11
脑洞先生|2.36846|0.0|1167|None|71|2020-12-11
全民K歌-你其实很会唱歌|4.83596|0.0|4092674|China|72|2020-12-11
网上国网|3.70404|0.0|44198|None|73|2020-12-11
掌上生活-招商银行信用卡|4.89078|0.0|1232228|China|74|2020-12-11
王者营地|3.97875|0.0|68339|China|75|2020-12-11
